04.09.2018:M50:3:Jiří Mareček:CZE:OK2BWN:29'44:6:136
04.09.2018:M50:4:Burda Yurii:RUS:R1MQ:30'15:6:304
04.09.2018:M50:5:Sergii Zelenskyi:UKR::30'56:6:343
04.09.2018:M50:6:Vadim Afonkin:USA::32'52:6:370
04.09.2018:M50:7:Burgonutdinov Albert:RUS::33'43:6:305
04.09.2018:M50:8:Rimantas Basys:LTU::33'47:6:237
04.09.2018:M50:9:Andres Viira:EST::33'52:6:142
04.09.2018:M50:10:Robin Bishop:GBR:RS21344:34'16:6:163
04.09.2018:M50:11:Algirdas Skudrickas:LTU::35'11:6:238
04.09.2018:M50:12:Attila Gabor Kovacs:HUN::35'18:6:182
04.09.2018:M50:13:Viktor Tsenkov:BUL:LZ3NN:35'20:6:109
04.09.2018:M50:14:Miroslav Látal:CZE:OK2LMX:37'10:6:138
04.09.2018:M50:15:Pavel Mokrý:CZE:OK2PMA:37'18:6:137
04.09.2018:M50:16:Kalle Kuusik:EST::38'19:6:141
04.09.2018:M50:17:Christian Drews:GER:DL7APD:38'32:6:152
04.09.2018:M50:18:Nicolai Mejevoi:USA::38'55:6:371
04.09.2018:M50:19:Markus Kaiser:GER::39'12:6:154
04.09.2018:M50:20:Sandor Brunner:HUN::39'33:6:176
04.09.2018:M50:21:Vitalii Iakymenko:UKR::40'55:6:361
04.09.2018:M50:22:Pavel Babeu:ROM:YO9TW:41'24:6:412
04.09.2018:M50:23:Shigeru Shimizu:JPN:7M3RMD:41'29:6:198
04.09.2018:M50:24:Young Ho Kim:KOR:DS2RDO:43'00:6:221
04.09.2018:M50:25:Gerald Eichler:GER:DL1DSR:44'16:6:153
04.09.2018:M50:26:Bill Wright:USA:WB6CMD:47'11:6:372
04.09.2018:M50:26:Akira Ishizuka:JPN:JA0PZC:47'11:6:196
04.09.2018:M50:28:Bela Nagy:HUN:HA8BE:48'23:6:185
04.09.2018:M50:29:Dahong Zhao:HKG::48'59:6:381
04.09.2018:M50:30:Gun Chun Lee:KOR:HL2WVO:49'08:6:223
04.09.2018:M50:31:Tatsuo Nishihara:JPN:JA0QBY:49'15:6:197
04.09.2018:M50:32:Henrik Lindell:SWE::50'25:6:336
04.09.2018:M50:33:Oleg Shuman:UKR::52'36:6:362
04.09.2018:M50:34:Tarmo Gede:EST::53'36:6:140
04.09.2018:M50:35:Liming Hu:MAC::72'08:6:245
04.09.2018:M50:36:Weizhu Wang:CHN::84'52:6:407
04.09.2018:M50:37:Svein Olsen:NOR:LA6KCA:87'25:6:258
04.09.2018:M50:38:Adrian Marcu:ROM:YO7LOI:87'28:6:279
04.09.2018:M50:39:Hui Li:CHN::87'41:6:405
04.09.2018:M50:40:Jihui Qi:HKG::117'29:6:380
04.09.2018:M50:41:Seong Ju Kim:KOR:DS3MBB:110'12:4:222
04.09.2018:M50:OVT:Dajun Qian:CHN::147'34:4:406
04.09.2018:M60:1:Janos Moravszki:HUN::29'09:6:184
04.09.2018:M60:2:Guliev Chermen:RUS:UA3BL:29'15:6:306
04.09.2018:M60:3:Karoly Laszlo:HUN::29'59:6:183
04.09.2018:M60:4:Masao Ono:JPN:JR1EYZ:30'02:6:201
04.09.2018:M60:5:Christian Dons:NOR:LA5OQ:30'36:6:260
04.09.2018:M60:6:Heinrich Götte:GER::31'12:6:155
04.09.2018:M60:7:Artūras Žukauskas:LTU:LY5FOX:34'48:6:240
04.09.2018:M60:8:Peter Ljungström:SWE:SM5KMU:35'52:6:338
04.09.2018:M60:9:Gyorgy Nagy:HUN:HA3PA:37'50:6:186
04.09.2018:M60:10:Peder Haugaard-Pedersen:SWE:SM0GNS:37'53:6:337
04.09.2018:M60:11:Kuhn Namgung:KOR:HL2DDS:39'23:6:226
04.09.2018:M60:12:Joseph Huberman:USA:K5JGH:40'08:6:373
04.09.2018:M60:13:Nicholas Roethe:CAN:DF1FO:41'19:6:113
04.09.2018:M60:14:Kenichi Matsushima:JPN:JG1DGC:41'26:6:200
04.09.2018:M60:15:Jong Mo Kim:KOR:DS1CJK:41'36:6:225
04.09.2018:M60:16:Nurgaliev Yury:RUS:RW9WS:41'39:6:310
04.09.2018:M60:17:Yoshikazu Kanamaru:JPN:JH6AAM:42'36:6:199
04.09.2018:M60:18:Claus-Dieter Wittek:GER:DF8QJ:43'01:6:157
04.09.2018:M60:19:Jan Palmquist:SWE:SM5FUG:49'09:6:339
04.09.2018:M60:20:Sudnik Iurii:RUS::50'15:6:308
04.09.2018:M60:21:Dong Ik Cho:KOR:HL4GWB:54'14:6:224
04.09.2018:M60:22:Øivind Sollie:NOR:LA1KP:57'07:6:261
04.09.2018:M60:23:Arūnas Maršalka:LTU:LY4FOX:58'58:6:239
04.09.2018:M60:24:Bernd Höfner:GER:DL1AQ:62'38:6:156
04.09.2018:M60:25:Guojun Lou:CHN::63'01:6:409
04.09.2018:M60:26:Qingren Fan:CHN::76'37:6:410
04.09.2018:M60:27:Madrzynski Zbigniew:POL:SP2JNK:22'32:5:270
04.09.2018:M60:28:Peter Cole:AUS:VK3ADY:86'08:5:103
04.09.2018:M60:29:John Bramham:AUS:VK3WWW:39'18:4:102
04.09.2018:M60:- :Ken Mac:MAC::DNF::382
04.09.2018:M70:1:Oleg Fursa:UKR::24'13:5:364
04.09.2018:M70:2:Kochergin Alexandr:KAZ:UN2J:28'26:5:214
04.09.2018:M70:3:John Marriott:GBR:M0OJM:29'29:5:164
04.09.2018:M70:4:Vasili Burlacenco:MDA::31'11:5:416
04.09.2018:M70:5:Bo Lenander:SWE:SM5CJW:31'21:5:340
04.09.2018:M70:6:Yoshimi Kaneshige:JPN:JR1CHU:31'44:5:203
04.09.2018:M70:7:Ewen Templeton:AUS:VK3OW:32'45:5:104
04.09.2018:M70:8:Faleev Sergeii:RUS::33'57:5:309
04.09.2018:M70:9:Robert Cooley:USA:KF6VSE:39'13:5:374
04.09.2018:M70:10:Istvan Matrai:HUN:HA4XA:42'53:5:178
04.09.2018:M70:11:Marczak Lech:POL:SP3JML:42'57:5:271
04.09.2018:M70:12:Istvan Borcsok:HUN:HG8ZG:43'46:5:177
04.09.2018:M70:13:Viktor Baranovskyi:UKR::45'16:5:365
04.09.2018:M70:14:Rolf Svensson:SWE:SM5DIY:45'46:5:341
04.09.2018:M70:15:Jožef Onič:SLO:S51T:45'51:5:321
04.09.2018:M70:16:Gunnar Svensson:SWE:SM0-668:50'35:5:342
04.09.2018:M70:17:Solovev Sergei:RUS::51'23:5:311
04.09.2018:M70:18:Takayuki Matsuura:JPN:JH5FUL:61'25:5:204
04.09.2018:M70:19:In Kyo Kim:KOR:HL1SHY:61'53:5:227
04.09.2018:M70:20:Noboru Hosaka:JPN:JE1XXK:86'28:5:202
03.09.2019:W19:1:Evangelina Diaksova:BUL::22'47:7:124
03.09.2019:W19:2:Andrea Diaksova:BUL::22'48:7:125
03.09.2019:W19:3:Nadezhda Melnikova:RUS::25'13:7:322
03.09.2019:W19:4:Olga Tomashava:BLR::26'45:7:111
03.09.2019:W19:5:Ugnė Liegutė:LTU::26'53:7:243
03.09.2019:W19:6:Maria Deptulska:POL::27'20:7:278
03.09.2019:W19:7:Inga Oblap:RUS::27'53:7:323
03.09.2019:W19:8:Mariia Puhach:UKR::29'09:7:385
03.09.2019:W19:9:Anna Chmelařová:CZE::29'57:7:135
03.09.2019:W19:10:Valentina Marcu:ROM:YO7MAV:30'53:7:297
03.09.2019:W19:11:Daniela Trpáková:CZE::31'03:7:136
03.09.2019:W19:12:Maria Mija:ROM::32'12:7:298
03.09.2019:W19:13:Daria Panova:RUS::32'42:7:324
03.09.2019:W19:14:Denise Mija:ROM::36'36:7:296
03.09.2019:W19:15:Kristýna Bártová:CZE::37'39:7:134
03.09.2019:W19:16:Melanie Pastor:GER::42'11:7:208
03.09.2019:W19:17:Yuliia Vlasiuk:UKR::44'21:7:386
03.09.2019:W19:18:Lisa Durm:GER::47'51:7:209
03.09.2019:W19:19:Olha Novak:UKR::49'18:7:387
03.09.2019:W19:20:Katarina Cuninkova:SVK::73'45:7:374
03.09.2019:W19:21:Hana Oblak:CRO::100'37:7:131
03.09.2019:W21:1:Natalia HIKLOVA:RUS::26'09:8:317
03.09.2019:W21:2:Dianora Herashchenko:GER::28'04:8:210
03.09.2019:W21:3:Antoaneta Diaksova:BUL::28'17:8:126
03.09.2019:W21:4:Oleksandra Parkhomenko:UKR::30'24:8:390
03.09.2019:W21:5:Lucie Matulová:CZE::30'38:8:138
03.09.2019:W21:6:Alžběta Léharová:CZE::31'12:8:140
03.09.2019:W21:7:Anastasia Godunova:RUS::31'16:8:318
03.09.2019:W21:8:Barbora Šimeckova:SVK::32'13:8:376
03.09.2019:W21:9:Šárka Jelinková:CZE::32'57:8:438
03.09.2019:W21:10:Nadezhda Nakvose:RUS::33'56:8:316
03.09.2019:W21:11:Lubov Liebiedeva:UKR::35'11:8:393
03.09.2019:W21:12:Kathrin Berse:GER::40'42:8:211
03.09.2019:W21:13:Yana Petrovska:UKR::40'55:8:392
03.09.2019:W21:14:Giedrė Kamarevceva:LTU::44'01:8:260
03.09.2019:W21:15:Dóra Anna Boruzs:HUN::55'07:8:221
03.09.2019:W35:1:Agata Kulicka:POL:SQ5AXK:29'30:7:281
03.09.2019:W35:2:Svetlana Godunova:RUS:R5VBU:29'35:7:327
03.09.2019:W35:3:Viktoriia Golubeva:RUS::29'39:7:321
03.09.2019:W35:4:Pavla Hažmuková:CZE::31'45:7:142
03.09.2019:W35:5:Irina Platonova:RUS::32'11:7:320
03.09.2019:W35:6:Blanka Adámková:CZE::33'06:7:141
03.09.2019:W35:7:Vita Daudaravičienė:LTU::34'43:7:259
03.09.2019:W35:8:Inessa Cherniavsky:GER::35'59:7:213
03.09.2019:W35:9:Ala Hrakholskaya:BLR::37'19:7:110
03.09.2019:W35:10:Ramona Manea:ROM:YO7MAE:37'57:7:301
03.09.2019:W35:11:Anja Hilbert:GER:DG0YS:40'57:7:212
03.09.2019:W35:12:Leona Soukupová:CZE::42'35:7:144
03.09.2019:W35:13:Éva Skropné Szuromi:HUN::47'44:7:236
03.09.2019:W35:14:Henrike Kaiser:GER::59'53:7:214
03.09.2019:W35:15:Eliana Mija:ROM::116'26:7:302
03.09.2019:W35:16:Oana Nemtanu:ROM::48'36:6:430
03.09.2019:W35:17:Jelena Tuksar:CRO::49'26:5:129
03.09.2019:W50:1:Aušra Bartkevičienė:LTU::23'26:7:251
03.09.2019:W50:2:Jitka Šimáčková:CZE::27'20:7:145
03.09.2019:W50:3:Larisa Savinykh:RUS::30'43:7:344
03.09.2019:W50:4:Renáta Čadová:CZE::31'55:7:147
03.09.2019:W50:5:Anna Mária Radics:HUN::33'56:7:234
03.09.2019:W50:6:Klára Zarnóczay:HUN:HA0RZK:35'14:7:241
03.09.2019:W50:7:Anna Simeckova:SVK:OM6ASA:36'30:7:383
03.09.2019:W50:8:Carola Stein:GER:DL2NBE:36'42:7:217
03.09.2019:W50:9:Brigitte Drews:GER:DL7AFJ:38'15:7:215
03.09.2019:W50:10:Marcela Šrůtová:CZE::42'46:7:146
03.09.2019:W50:11:Nadezhda Makeeva:RUS::51'47:7:338
03.09.2019:W50:12:Manuela Gütt-Mühlberg:GER::56'18:7:216
03.09.2019:W60:1:Pirosk Lászlóné Hornyai:HUN::28'30:6:228
03.09.2019:W60:2:Jana Omová:CZE::36'45:6:149
03.09.2019:W60:3:Maria Fekiacova:SVK::38'04:6:384
03.09.2019:W60:4:Eliška Voráčková:CZE::39'11:6:148
03.09.2019:W60:5:Alexandra Látalová:CZE::40'10:6:151
03.09.2019:W60:6:Galina Krassowizkaja:GER::42'27:6:218
03.09.2019:W60:7:Ingrid Pomplun:GER:DL4YCR:44'11:6:219
03.09.2019:W60:8:Karin Garpestad:NOR:LA8UW:46'28:6:276
03.09.2019:W60:9:Tatiana Agafonova:RUS::49'15:6:330
03.09.2019:W60:10:Alexandra Wanner:GER::53'08:6:220
03.09.2019:W60:11:Galina Gulieva:RUS:UA3AIH:55'32:6:335
03.09.2019:W60:12:Jenny Fijlstra:NED:NL12125:56'26:6:269
03.09.2019:W60:13:Hege Andersen:NOR::74'09:6:274
03.09.2019:W60:14:Anette Hansen:DEN:OZ1BCC:79'44:6:175
03.09.2019:M19:1:Viacheslav Kotov:RUS::25'32:9:311
03.09.2019:M19:2:Boris Popov:RUS::26'04:9:314
